Name,Team,Age,Yards,Position,Attempts,YardsPerGame,Fumbles,Touchdowns
Rome Odunze,CHI,22,15,WR,3,0.9,2,0
Velus Jones Jr.,CHI,27,11,WR,2,11.0,1,0
Darrynton Evans,CHI,26,3,RB,3,0.6,0,0
Keenan Allen,CHI,32,0,WR,0,0.0,1,0
DeAndre Carter,CHI,31,0,WR,0,0.0,1,0
Gerald Everett,CHI,30,0,TE,0,0.0,0,0
Collin Johnson,CHI,27,0,WR,0,0.0,0,0
Cole Kmet,CHI,25,0,TE,0,0.0,0,0
Marcedes Lewis,CHI,40,0,TE,0,0.0,0,0
Tyler Scott,CHI,23,0,WR,0,0.0,0,0
Tyson Bagent,CHI,24,-7,QB,6,-1.8,0,0
Chase Brown,CIN,24,990,RB,229,61.9,2,7
Zack Moss,CIN,27,242,RB,74,30.3,2,2
Joe Burrow,CIN,28,201,QB,42,11.8,11,2
Khalil Herbert,CIN,26,114,RB,28,14.3,1,0
Ja'Marr Chase,CIN,24,32,WR,3,1.9,0,0
Tanner Hudson,CIN,30,1,TE,1,0.1,1,0
Erick All,CIN,24,0,TE,0,0.0,0,0
Jermaine Burton,CIN,23,0,WR,0,0.0,0,0
Mike Gesicki,CIN,29,0,TE,0,0.0,1,0
Cam Grandy,CIN,24,0,TE,0,0.0,0,0
Tee Higgins,CIN,25,0,WR,0,0.0,1,0
Sam Hubbard,CIN,29,0,DE,0,0.0,0,0
Andrei Iosivas,CIN,25,0,WR,0,0.0,0,0
Trenton Irwin,CIN,29,0,WR,0,0.0,0,0
Charlie Jones,CIN,26,0,WR,0,0.0,2,0
Kendric Pryor,CIN,26,0,WR,0,0.0,0,0
Jake Browning,CIN,28,-2,QB,2,-0.7,0,0
Drew Sample,CIN,28,-4,TE,1,-0.2,1,0
Jerome Ford,CLE,25,565,RB,104,40.4,0,3
Nick Chubb,CLE,29,332,RB,102,41.5,1,3
D'Onta Foreman,CLE,28,232,RB,71,21.1,2,0
Deshaun Watson,CLE,29,148,QB,31,21.1,5,1
Dorian Thompson-Robinson,CLE,25,122,QB,21,17.4,3,0
Pierre Strong,CLE,26,108,RB,26,7.7,0,0
Jameis Winston,CLE,30,83,QB,25,6.9,5,1
Jacob Kibodi,CLE,26,24,RB,5,24.0,0,0
Bailey Zappe,CLE,25,2,QB,2,2.0,0,0
Elijah Moore,CLE,24,1,WR,1,0.1,0,0
Jordan Akins,CLE,32,0,TE,0,0.0,1,0
Brenden Bates,CLE,25,0,TE,0,0.0,0,0
David Bell,CLE,24,0,WR,0,0.0,0,0
Amari Cooper,CLE,30,0,WR,0,0.0,0,0
Jaelon Darden,CLE,25,0,WR,0,0.0,0,0
Jerry Jeudy,CLE,25,0,WR,0,0.0,0,0
David Njoku,CLE,28,0,TE,0,0.0,0,0
James Proche,CLE,28,0,WR,0,0.0,1,0
Geoff Swaim,CLE,31,0,TE,0,0.0,0,0
Jamari Thrash,CLE,24,0,WR,0,0.0,0,0
Blake Whiteheart,CLE,24,0,TE,0,0.0,0,0
Michael Woods II,CLE,24,0,WR,0,0.0,0,0
Kadarius Toney,CLE,25,-4,WR,2,-1.3,1,0
Cedric Tillman,CLE,24,-5,WR,1,-0.5,1,0
Rico Dowdle,DAL,26,1079,RB,235,67.4,3,2
Ezekiel Elliott,DAL,29,226,RB,74,15.1,1,3
KaVontae Turpin,DAL,28,92,WR,16,5.4,3,0
Deuce Vaughn,DAL,23,70,RB,17,10.0,0,0
CeeDee Lamb,DAL,25,70,WR,14,4.7,1,0
Dak Prescott,DAL,31,54,QB,13,6.8,4,1
Trey Lance,DAL,24,41,QB,11,10.3,0,0
Hunter Luepke,DAL,24,38,RB,12,2.4,0,0
Dalvin Cook,DAL,29,20,RB,8,10.0,0,0
Cooper Rush,DAL,31,18,QB,26,1.5,9,0
Jonathan Mingo,DAL,23,0,WR,0,0.0,0,0
Jalen Brooks,DAL,24,0,WR,0,0.0,0,0
Jake Ferguson,DAL,25,0,TE,0,0.0,4,0
Ryan Flournoy,DAL,25,0,WR,0,0.0,1,0
C.J. Goodwin,DAL,34,0,CB,0,0.0,0,0
Luke Schoonmaker,DAL,26,0,TE,0,0.0,0,0
Tyler Smith,DAL,23,0,OL,0,0.0,0,0
Brevyn Spann-Ford,DAL,25,0,TE,0,0.0,0,0
Juanyeh Thomas,DAL,24,0,S,0,0.0,0,0
Jalen Tolbert,DAL,25,0,WR,0,0.0,0,0
Brandin Cooks,DAL,31,-3,WR,3,-0.3,0,0
Javonte Williams,DEN,24,513,RB,139,30.2,2,4
Jaleel McLaughlin,DEN,24,496,RB,113,31.0,1,1
Bo Nix,DEN,24,430,QB,92,25.3,3,4
Audric Estime,DEN,21,310,RB,76,23.8,2,2
Tyler Badie,DEN,24,86,RB,11,28.7,1,0
Marvin Mims,DEN,22,42,WR,13,2.5,1,0
Blake Watson,DEN,25,10,RB,4,5.0,0,0
Michael Burton,DEN,32,8,FB,7,0.5,0,1
Troy Franklin,DEN,21,8,WR,2,0.5,0,0
Jarrett Stidham,DEN,28,5,QB,4,1.7,0,0
Nate Adkins,DEN,25,0,TE,0,0.0,0,0
Greg Dulcich,DEN,24,0,TE,0,0.0,0,0
Lil'Jordan Humphrey,DEN,26,0,WR,0,0.0,2,0
Lucas Krull,DEN,26,0,TE,0,0.0,0,0
Josh Reynolds,DEN,29,0,WR,0,0.0,0,0
Courtland Sutton,DEN,29,0,WR,0,0.0,1,0
Adam Trautman,DEN,27,0,TE,0,0.0,0,0
Devaughn Vele,DEN,27,0,WR,0,0.0,0,0
Jahmyr Gibbs,DET,22,1412,RB,250,83.1,1,16
David Montgomery,DET,27,775,RB,185,55.4,2,12
Craig Reynolds,DET,28,139,RB,31,8.2,1,0
Jameson Williams,DET,23,61,WR,11,4.1,0,1
Jared Goff,DET,30,56,QB,35,3.3,6,0
Jermar Jefferson,DET,24,22,RB,6,11.0,0,0
Sione Vaki,DET,23,14,RB,6,0.9,0,0
Amon-Ra St. Brown,DET,25,6,WR,2,0.4,1,0
Hendon Hooker,DET,26,2,QB,5,0.7,0,0
Jalen Reeves-Maybin,DET,29,1,LB,1,0.1,0,0
Kalif Raymond,DET,30,0,WR,2,0.0,0,0
Taylor Decker,DET,30,0,T,0,0.0,0,0
Tom Kennedy,DET,28,0,WR,0,0.0,0,0
Sam LaPorta,DET,23,0,TE,0,0.0,0,0
Tim Patrick,DET,31,0,WR,0,0.0,0,0
Allen Robinson,DET,31,0,WR,0,0.0,0,0
Dan Skipper,DET,30,0,T,0,0.0,0,0
Isaiah Williams,DET,23,0,WR,0,0.0,0,0
Brock Wright,DET,26,0,TE,0,0.0,0,0
Shane Zylstra,DET,28,0,TE,0,0.0,0,0
Josh Jacobs,GNB,26,1329,RB,301,78.2,4,15
Emanuel Wilson,GNB,25,502,RB,103,29.5,0,4
Chris Brooks,GNB,24,183,RB,36,12.2,0,1
Jayden Reed,GNB,24,163,WR,20,9.6,3,1
Malik Willis,GNB,25,138,QB,20,19.7,1,1
Jordan Love,GNB,26,83,QB,25,5.5,4,1
Bo Melton,GNB,25,54,WR,8,3.2,0,0
Christian Watson,GNB,25,23,WR,4,1.5,1,0
MarShawn Lloyd,GNB,23,15,RB,6,15.0,0,0
Tucker Kraft,GNB,24,6,TE,3,0.4,1,0
Andrew Beck,GNB,28,0,FB,0,0.0,0,0
Romeo Doubs,GNB,24,0,WR,0,0.0,0,0
John FitzPatrick,GNB,24,0,TE,0,0.0,0,0
Malik Heath,GNB,24,0,WR,0,0.0,0,0
Luke Musgrave,GNB,24,0,TE,0,0.0,0,0
Ben Sims,GNB,24,0,TE,0,0.0,0,0
Dontayvion Wicks,GNB,23,0,WR,0,0.0,0,0
Joe Mixon,HOU,28,1016,RB,245,72.6,0,11
Dameon Pierce,HOU,24,293,RB,40,26.6,1,2
C.J. Stroud,HOU,23,233,QB,52,13.7,6,0
Cam Akers,HOU,25,147,RB,40,29.4,1,1
Dare Ogunbowale,HOU,30,112,RB,30,6.6,0,0
J.J. Taylor,HOU,26,44,RB,10,8.8,0,0
Tank Dell,HOU,25,43,WR,9,3.1,0,0
Davis Mills,HOU,26,11,QB,3,2.8,0,0
Stefon Diggs,HOU,31,8,WR,3,1.0,0,1
British Brooks,HOU,25,2,RB,1,0.4,0,0
Diontae Johnson,HOU,28,0,WR,0,0.0,0,0
Steven Sims,HOU,27,0,WR,1,0.0,2,0
Andrew Beck,HOU,28,0,FB,0,0.0,0,0
Nico Collins,HOU,25,0,WR,0,0.0,0,0
Xavier Hutchinson,HOU,24,0,WR,0,0.0,0,0
Brevin Jordan,HOU,24,0,TE,0,0.0,0,0
John Metchie,HOU,24,0,WR,0,0.0,1,0
Dalton Schultz,HOU,28,0,TE,0,0.0,0,0
Cade Stover,HOU,24,0,TE,0,0.0,0,0
Robert Woods,HOU,32,0,WR,0,0.0,3,0
Jonathan Taylor,IND,25,1431,RB,303,102.2,4,11
Anthony Richardson,IND,22,499,QB,86,45.4,9,6
Trey Sermon,IND,25,159,RB,56,9.4,0,2
Tyler Goodson,IND,24,153,RB,32,9.6,0,1
Ashton Dulin,IND,27,45,WR,5,3.0,0,0
Joe Flacco,IND,39,26,QB,9,3.3,4,0
Josh Downs,IND,23,12,WR,1,0.9,0,0
Adonai Mitchell,IND,22,6,WR,4,0.4,2,0
Mo Alie-Cox,IND,31,0,TE,0,0.0,0,0
Anthony Gould,IND,23,0,WR,0,0.0,0,0
Kylen Granson,IND,26,0,TE,0,0.0,0,0
Will Mallory,IND,25,0,TE,0,0.0,0,0
Andrew Ogletree,IND,26,0,TE,0,0.0,0,0
Alec Pierce,IND,24,0,WR,0,0.0,0,0
Michael Pittman Jr.,IND,27,0,WR,0,0.0,1,0
Tank Bigsby,JAX,23,766,RB,168,47.9,4,7
Travis Etienne,JAX,25,558,RB,150,37.2,1,2
D'Ernest Johnson,JAX,28,143,RB,32,10.2,0,0
Trevor Lawrence,JAX,25,119,QB,26,11.9,3,3
Mac Jones,JAX,26,92,QB,28,9.2,2,1
Brian Thomas,JAX,22,48,WR,6,2.8,0,0
Devin Duvernay,JAX,27,3,WR,4,0.2,1,0
Gabriel Davis,JAX,25,0,WR,0,0.0,1,0
Josiah Deguara,JAX,27,0,TE,0,0.0,0,0
Evan Engram,JAX,30,0,TE,0,0.0,1,0
Luke Farrell,JAX,27,0,TE,0,0.0,0,0
Tim Jones,JAX,26,0,WR,0,0.0,0,0
