Name,Team,Age,Yards,Position,Attempts,YardsPerGame,Fumbles,Touchdowns
Daniel Bellinger,NYG,24,0,TE,0,0.0,0,0
Isaiah Hodgins,NYG,26,0,WR,0,0.0,0,0
Jalin Hyatt,NYG,23,0,WR,0,0.0,0,0
Theo Johnson,NYG,23,0,TE,0,0.0,0,0
Chris Manhertz,NYG,32,0,TE,0,0.0,0,0
Tim Boyle,NYG,30,-1,QB,1,-1.0,0,0
Breece Hall,NYJ,23,876,RB,209,54.8,6,5
Braelon Allen,NYJ,20,334,RB,92,19.6,0,2
Isaiah Davis,NYJ,22,174,RB,30,10.2,0,1
Aaron Rodgers,NYJ,41,107,QB,22,6.3,5,0
Malachi Corley,NYJ,22,26,WR,2,2.9,1,0
Ashtyn Davis,NYJ,28,21,S,1,1.4,0,0
Tyrod Taylor,NYJ,35,13,QB,3,6.5,1,0
Garrett Wilson,NYJ,24,5,WR,2,0.3,2,0
Xavier Gipson,NYJ,23,5,WR,1,0.3,4,0
Tyler Conklin,NYJ,29,0,TE,1,0.0,0,0
Davante Adams,NYJ,32,0,WR,0,0.0,0,0
Irvin Charles,NYJ,27,0,WR,0,0.0,0,0
Allen Lazard,NYJ,29,0,WR,0,0.0,0,0
Jeremy Ruckert,NYJ,24,0,TE,0,0.0,0,0
Mike Williams,NYJ,30,0,WR,0,0.0,0,0
Kenny Yeboah,NYJ,26,0,TE,0,0.0,0,0
Saquon Barkley,PHI,27,2005,RB,345,125.3,2,13
Jalen Hurts,PHI,26,630,QB,150,42.0,9,14
Kenneth Gainwell,PHI,25,290,RB,75,17.1,0,1
Will Shipley,PHI,22,82,RB,30,5.1,0,0
Kenny Pickett,PHI,26,15,QB,9,3.0,1,1
Jahan Dotson,PHI,24,13,WR,1,0.8,0,0
Tyrion Davis-Price,PHI,24,7,RB,3,7.0,0,0
Ainias Smith,PHI,23,6,WR,2,0.9,0,0
DeVonta Smith,PHI,26,1,WR,1,0.1,0,0
A.J. Brown,PHI,27,0,WR,0,0.0,0,0
Grant Calcaterra,PHI,26,0,TE,0,0.0,0,0
Parris Campbell,PHI,27,0,WR,0,0.0,0,0
Britain Covey,PHI,27,0,WR,0,0.0,0,0
Dallas Goedert,PHI,29,0,TE,0,0.0,2,0
E.J. Jenkins,PHI,26,0,TE,0,0.0,0,0
John Ross,PHI,29,0,WR,0,0.0,0,0
Jack Stoll,PHI,26,0,TE,0,0.0,0,0
Ben VanSumeren,PHI,24,0,LB,0,0.0,0,0
Johnny Wilson,PHI,23,0,WR,0,0.0,0,0
Tanner McKee,PHI,24,-1,QB,5,-0.5,0,0
Najee Harris,PIT,26,1043,RB,263,61.4,0,6
Jaylen Warren,PIT,26,511,RB,120,34.1,2,1
Justin Fields,PIT,25,289,QB,62,28.9,6,5
Russell Wilson,PIT,36,155,QB,43,14.1,5,2
Cordarrelle Patterson,PIT,33,135,RB,32,10.4,1,0
Jonathan Ward,PIT,27,22,RB,5,5.5,0,0
Aaron Shampklin,PIT,25,17,RB,6,5.7,0,0
Calvin Austin III,PIT,25,0,WR,0,0.0,1,0
Zach Frazier,PIT,23,0,C,0,0.0,1,0
Pat Freiermuth,PIT,26,0,TE,0,0.0,3,0
Connor Heyward,PIT,25,0,TE,0,0.0,0,0
Van Jefferson,PIT,28,0,WR,0,0.0,0,0
Brandon Johnson,PIT,26,0,WR,0,0.0,0,0
Scott Miller,PIT,27,0,WR,0,0.0,0,0
James Pierre,PIT,28,0,CB,0,0.0,0,0
MyCole Pruitt,PIT,32,0,TE,0,0.0,0,0
Ben Skowronek,PIT,27,0,WR,0,0.0,0,0
Darnell Washington,PIT,23,0,TE,0,0.0,0,0
Mike Williams,PIT,30,0,WR,0,0.0,0,0
George Pickens,PIT,23,-6,WR,2,-0.4,1,0
Kenneth Walker III,SEA,24,573,RB,153,52.1,1,7
Zach Charbonnet,SEA,23,569,RB,135,33.5,0,8
Geno Smith,SEA,34,272,QB,53,16.0,9,2
Kenny McIntosh,SEA,24,172,RB,31,10.1,0,0
Jaxon Smith-Njigba,SEA,22,26,WR,5,1.5,1,0
George Holani,SEA,25,10,RB,3,2.0,0,0
Sam Howell,SEA,24,2,QB,1,1.0,0,0
Julian Love,SEA,26,2,FS,1,0.1,0,0
Laviska Shenault Jr.,SEA,26,1,WR,1,0.1,2,0
AJ Barner,SEA,22,0,TE,0,0.0,0,0
Jake Bobo,SEA,26,0,WR,0,0.0,0,0
Pharaoh Brown,SEA,30,0,TE,0,0.0,1,0
Noah Fant,SEA,27,0,TE,0,0.0,0,0
Tyler Lockett,SEA,32,0,WR,0,0.0,0,0
D.K. Metcalf,SEA,27,0,WR,0,0.0,2,0
Cody White,SEA,26,0,WR,0,0.0,0,0
Dareke Young,SEA,25,0,WR,0,0.0,0,0
Jordan Mason,SFO,25,789,RB,153,65.8,3,3
Isaac Guerendo,SFO,24,420,RB,84,26.3,3,4
Brock Purdy,SFO,25,323,QB,66,21.5,7,5
Christian McCaffrey,SFO,28,202,RB,50,50.5,1,0
Patrick Taylor,SFO,26,183,RB,39,14.1,0,1
Deebo Samuel,SFO,28,136,WR,42,9.1,2,1
Ricky Pearsall,SFO,24,45,WR,3,4.1,0,0
Kyle Juszczyk,SFO,33,26,FB,5,1.5,1,1
Joshua Dobbs,SFO,29,24,QB,9,12.0,2,2
Jacob Cowing,SFO,23,7,WR,1,0.5,2,0
Brandon Allen,SFO,32,4,QB,3,1.3,2,0
Ke'Shawn Vaughn,SFO,27,4,RB,2,1.3,0,0
Brandon Aiyuk,SFO,26,0,WR,0,0.0,0,0
Ronnie Bell,SFO,24,0,WR,0,0.0,0,0
Jake Brendel,SFO,32,0,OL,0,0.0,1,0
Chris Conley,SFO,32,0,WR,0,0.0,0,0
Jauan Jennings,SFO,27,0,WR,0,0.0,1,0
George Kittle,SFO,31,0,TE,0,0.0,0,0
Dominick Puni,SFO,24,0,OL,0,0.0,0,0
Eric Saubert,SFO,30,0,TE,0,0.0,1,0
Trent Taylor,SFO,30,0,WR,0,0.0,0,0
Brayden Willis,SFO,25,0,TE,0,0.0,0,0
Bucky Irving,TAM,22,1122,RB,207,66.0,2,8
Rachaad White,TAM,25,613,RB,144,38.3,3,3
Baker Mayfield,TAM,29,378,QB,60,22.2,13,3
Sean Tucker,TAM,23,308,RB,50,18.1,1,2
Sterling Shepard,TAM,31,69,WR,8,4.9,0,0
Jalen McMillan,TAM,23,43,WR,4,3.3,0,0
Kameron Johnson,TAM,22,11,WR,2,2.2,0,0
Chris Godwin,TAM,28,2,WR,1,0.3,1,0
Devin Culp,TAM,24,0,TE,0,0.0,0,0
Payne Durham,TAM,24,0,TE,0,0.0,1,0
Mike Evans,TAM,31,0,WR,0,0.0,0,0
Rakim Jarrett,TAM,23,0,WR,0,0.0,0,0
Ryan Miller,TAM,24,0,WR,0,0.0,0,0
Trey Palmer,TAM,23,0,WR,0,0.0,1,0
Tristan Wirfs,TAM,25,0,T,0,0.0,1,0
Tavierre Thomas,TAM,28,-2,CB,1,-0.1,0,0
Kyle Trask,TAM,26,-4,QB,5,-1.0,0,0
Cade Otton,TAM,25,-4,TE,1,-0.3,2,0
Tony Pollard,TEN,27,1079,RB,260,67.4,2,5
Tyjae Spears,TEN,23,312,RB,84,26.0,1,4
Will Levis,TEN,25,183,QB,45,15.3,10,0
Mason Rudolph,TEN,29,106,QB,25,13.3,5,1
Julius Chestnut,TEN,24,102,RB,22,6.0,0,0
Calvin Ridley,TEN,30,55,WR,8,3.2,1,1
Chigoziem Okonkwo,TEN,25,17,TE,1,1.0,2,0
Tyler Boyd,TEN,30,3,WR,1,0.2,0,0
Joshua Kelley,TEN,27,2,RB,1,0.7,0,0
Treylon Burks,TEN,24,1,WR,2,0.2,0,0
DeAndre Hopkins,TEN,32,0,WR,0,0.0,1,0
Mason Kinsey,TEN,26,0,WR,0,0.0,0,0
JC Latham,TEN,21,0,OT,0,0.0,0,0
Tay Martin,TEN,27,0,WR,0,0.0,0,0
David Martin-Robinson,TEN,25,0,TE,0,0.0,0,0
Bryce Oliver,TEN,24,0,WR,0,0.0,0,0
Nick Vannett,TEN,31,0,TE,0,0.0,0,0
Nick Westbrook-Ikhine,TEN,27,0,WR,0,0.0,0,0
Josh Whyle,TEN,25,0,TE,0,0.0,0,0
Jha'Quan Jackson,TEN,24,-5,WR,1,-0.4,5,0
Jayden Daniels,WAS,24,891,QB,148,52.4,5,6
Brian Robinson Jr.,WAS,25,799,RB,187,57.1,2,8
Austin Ekeler,WAS,29,367,RB,77,30.6,3,4
Jeremy McNichols,WAS,29,261,RB,55,15.4,0,4
Chris Rodriguez,WAS,24,173,RB,35,19.2,0,2
Marcus Mariota,WAS,31,92,QB,18,30.7,0,1
Dyami Brown,WAS,25,26,WR,3,1.6,1,0
Olamide Zaccheaus,WAS,27,8,WR,1,0.5,3,0
Terry McLaurin,WAS,29,2,WR,2,0.1,1,0
John Bates,WAS,27,0,TE,0,0.0,1,0
Noah Brown,WAS,28,0,WR,0,0.0,0,0
Jamison Crowder,WAS,31,0,WR,0,0.0,2,0
Zach Ertz,WAS,34,0,TE,0,0.0,1,0
Luke McCaffrey,WAS,23,0,WR,0,0.0,0,0
Trenton Scott,WAS,30,0,T,0,0.0,0,0
Ben Sinnott,WAS,22,0,TE,0,0.0,0,0
Brycen Tremayne,WAS,25,0,WR,0,0.0,0,0
